Wavelength (nm),Difference in Number
360,-0.0518
361,-0.0518
362,-0.0518
363,-0.0518
364,-0.0518
365,-0.0518
366,-0.0518
367,-0.0518
368,-0.0518
369,-0.0518
370,-0.0518
371,-0.0518
372,-0.0518
373,-0.0518
374,-0.0518
375,-0.0518
376,-0.0518
377,-0.0518
378,-0.0518
379,-0.0518
380,-0.0518
381,-0.032
382,-0.0319
383,-0.0399
384,-0.0545
385,-0.0096
386,-0.0241
387,-0.0297
388,-0.0365
389,-0.0458
390,-0.0337
391,-0.0505
392,-0.0578
393,-0.0421
394,-0.0438
395,-0.0567
396,-0.0603
397,-0.0678
398,-0.0488
399,-0.0561
400,-0.0543
401,-0.0472
402,-0.05
403,-0.0554
404,-0.054
405,-0.0522
406,-0.0456
407,-0.0429
408,-0.0391
409,-0.0426
410,-0.0392
411,-0.0366
412,-0.0326
413,-0.0314
414,-0.033
415,-0.0338
416,-0.027
417,-0.0326
418,-0.0361
419,-0.0312
420,-0.0279
421,-0.0329
422,-0.0361
423,-0.0295
424,-0.0417
425,-0.0414
426,-0.0439
427,-0.0547
428,-0.0598
429,-0.067
430,-0.077
431,-0.0897
432,-0.098
433,-0.1097
434,-0.1253
435,-0.1493
436,-0.1671
437,-0.1914
438,-0.2266
439,-0.2641
440,-0.2991
441,-0.3484
442,-0.4025
443,-0.4829
444,-0.5745
445,-0.6834
446,-0.8227
447,-0.9805
448,-1.1636
449,-1.3891
450,-1.6721
451,-1.9593
452,-2.3612
453,-2.7714
454,-3.2674
455,-3.8492
456,-4.5017
457,-5.2303
458,-6.0369
459,-6.8967
460,-7.7852
461,-8.7284
462,-9.5607
463,-10.2856
464,-10.8269
465,-11.2061
466,-11.1947
467,-10.9933
468,-10.4296
469,-9.6962
470,-8.8275
471,-7.7982
472,-6.8557
473,-6.0313
474,-5.3332
475,-4.7482
476,-4.29
477,-3.926
478,-3.6599
479,-3.4305
480,-3.2118
481,-3.0034
482,-2.7731
483,-2.5599
484,-2.3119
485,-2.0654
486,-1.8323
487,-1.6041
488,-1.3956
489,-1.2068
490,-1.0264
491,-0.8861
492,-0.7496
493,-0.6534
494,-0.5532
495,-0.4783
496,-0.402
497,-0.3348
498,-0.2671
499,-0.2001
500,-0.1266
501,-0.062
502,0.0122
503,0.0925
504,0.1699
505,0.251
506,0.3265
507,0.4126
508,0.4963
509,0.5821
510,0.665
511,0.7515
512,0.8426
513,0.9296
514,1.0218
515,1.1099
516,1.1999
517,1.2836
518,1.3682
519,1.4435
520,1.5194
521,1.5861
522,1.6392
523,1.6922
524,1.7294
525,1.7583
526,1.7722
527,1.7724
528,1.7653
529,1.7487
530,1.7197
531,1.68
532,1.6364
533,1.586
534,1.5371
535,1.4768
536,1.4137
537,1.3579
538,1.2949
539,1.2397
540,1.1817
541,1.1236
542,1.0754
543,1.0197
544,0.9736
545,0.9299
546,0.8843
547,0.8442
548,0.7989
549,0.7613
550,0.7206
551,0.6857
552,0.6501
553,0.6197
554,0.5865
555,0.5549
556,0.5219
557,0.4914
558,0.4626
559,0.4355
560,0.4111
561,0.3863
562,0.3641
563,0.3406
564,0.3201
565,0.3035
566,0.2874
567,0.2698
568,0.2545
569,0.2423
570,0.2278
571,0.2168
572,0.2046
573,0.1961
574,0.1857
575,0.1762
576,0.1669
577,0.1604
578,0.1519
579,0.1471
580,0.1409
581,0.1344
582,0.131
583,0.1293
584,0.1256
585,0.1233
586,0.1227
587,0.1215
588,0.1218
589,0.1242
590,0.1259
591,0.1289
592,0.1352
593,0.1384
594,0.1444
595,0.1538
596,0.1625
597,0.1736
598,0.1875
599,0.2006
600,0.2175
601,0.2372
602,0.2567
603,0.2804
604,0.3062
605,0.3341
606,0.3661
607,0.4025
608,0.4427
609,0.4842
610,0.5324
611,0.5883
612,0.6451
613,0.7114
614,0.7858
615,0.8644
616,0.9583
617,1.0569
618,1.162
619,1.282
620,1.4144
621,1.5529
622,1.708
623,1.8806
624,2.068
625,2.2609
626,2.4666
627,2.6858
628,2.9087
629,3.1359
630,3.3472
631,3.5584
632,3.7625
633,3.9553
634,4.1323
635,4.2671
636,4.3529
637,4.3439
638,4.2214
639,3.9719
640,3.6003
641,3.1714
642,2.7148
643,2.2834
644,1.9066
645,1.5849
646,1.3254
647,1.1183
648,0.9425
649,0.8016
650,0.6808
651,0.577
652,0.4914
653,0.4136
654,0.352
655,0.2983
656,0.2519
657,0.215
658,0.1828
659,0.157
660,0.136
661,0.1182
662,0.1043
663,0.0904
664,0.0801
665,0.0686
666,0.0609
667,0.0559
668,0.0499
669,0.0451
670,0.0398
671,0.0371
672,0.0336
673,0.028
674,0.027
675,0.0249
676,0.0228
677,0.0198
678,0.0198
679,0.0171
680,0.0168
681,0.0158
682,0.0134
683,0.0137
684,0.0123
685,0.0126
686,0.0114
687,0.0104
688,0.0103
689,0.0089
690,0.0102
691,0.01
692,0.0098
693,0.0092
694,0.0095
695,0.0091
696,0.008
697,0.0097
698,0.0083
699,0.0071
700,0.0088
701,0.0083
702,0.0079
703,0.0076
704,0.0078
705,0.0082
706,0.0073
707,0.0075
708,0.0082
709,0.0082
710,0.0068
711,0.0071
712,0.0078
713,0.0069
714,0.0082
715,0.0094
716,0.0078
717,0.0076
718,0.0082
719,0.0076
720,0.0094
721,0.0085
722,0.0078
723,0.0077
724,0.006
725,0.0077
726,0.0082
727,0.0064
728,0.0076
729,0.0065
730,0.0068
731,0.0081
732,0.0069
733,0.0064
734,0.0049
735,0.0044
736,0.006
737,0.0039
738,0.0038
739,0.0038
740,0.0047
741,0.0043
742,0.0043
743,0.0057
744,0.0046
745,0.0033
746,0.0063
747,0.0051
748,0.0066
749,0.0062
750,0.0061
751,0.0088
752,0.0081
753,0.0101
754,0.0098
755,0.0112
756,0.0111
757,0.0107
758,0.0106
759,0.0132
760,0.0144
761,0.0127
762,0.0125
763,0.0135
764,0.0151
765,0.0129
766,0.014
767,0.0128
768,0.0127
769,0.0148
770,0.0148
771,0.015
772,0.0126
773,0.0128
774,0.0126
775,0.013
776,0.0129
777,0.013
778,0.0132
779,0.0134
780,0.0137
